,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,Lat,Lng,Google Addresses,Postal Codes
0,CASUAL DINING,Pizzeria Libretto,4.5,1010,"Ossington Avenue, Trinity Bellwoods","221 Ossington Avenue, Toronto M6J 2Z8","Pizza, Italian",50,43.6490017,-79.4203433,"221 Ossington Ave, Toronto, ON M6J 2Z8, Canada",M6J
1,CASUAL DINING,KINKA IZAKAYA,4.6,1166,"Church Street, Church And Wellesley","398 Church Street, Toronto M5B 2A2 2A2","Japanese, Asian",55,43.6604215,-79.3789887,"398 Church St, Toronto, ON M5B 2A2, Canada",M5B
2,CASUAL DINING,Pai,4.9,614,"Duncan Street, Entertainment District","18 Duncan Street, Toronto","Thai, Asian",50,43.6478695,-79.3886849,"18 Duncan St, Toronto, ON M5H 3G8, Canada",M5H
3,QUICK BITES,Banh Mi Boys,4.7,941,"Queen Street West, Fashion District","392 Queen Street West, Toronto",Sandwich,25,43.648827,-79.39697009999999,"392 Queen St W, Toronto, ON M5V 2A6, Canada",M5V
4,QUICK BITES,The Stockyards,4.6,734,"Saint Clair Avenue West, Forest Hill","699 St Clair Avenue West, Toronto M6C 1B2","BBQ, Burger",25,43.6813458,-79.426147,"699 St Clair Ave W, Toronto, ON M6C 1B2, Canada",M6C
5,CASUAL DINING,Grand Electric,4.4,725,"Queen Street West, Brockton Village","1330 Queen Street West, Toronto",Mexican,40,43.64177369999999,-79.4316097,"1330 Queen St W, Toronto, ON M6K 1L4, Canada",M6K
6,CASUAL DINING,Salad King,4.2,1262,"Yonge Street, Downtown Yonge","340 Yonge Street, Toronto M5B 1R8","Thai, Asian",30,43.6576479,-79.3817284,"340 Yonge St, Toronto, ON M5B 1R8, Canada",M5B
7,CASUAL DINING,Gusto 101,4.5,507,Fashion District,"101 Portland Street, Toronto M5V 2N3","Pizza, Italian",75,43.6452124,-79.4000748,"101 Portland St, Toronto, ON M5V 2N3, Canada",M5V
8,CASUAL DINING,Richmond Station,4.8,490,Financial District,"1 Richmond Street West, Suite 120, Toronto M5H 3W4","Italian, Canadian",80,43.6513704,-79.379245,"120-1 Richmond St W, Toronto, ON M5H 3W4, Canada",M5H
9,FINE DINING,Canoe,4.5,676,"Wellington Street West, Financial District","66 Wellington St. W, TD Bank Tower, 54th Floor, Toronto M5K 1H6 1H6","Canadian, Bar Food",150,43.6475793,-79.38090369999999,"66 Wellington St W 54th floor, Toronto, ON M5K 1H6, Canada",M5K
